emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,initial_listing_status,disbursement_method,id
vp security specialist,10,FL,MORTGAGE,70500,Source Verified,11.31,142500,Source Verified,10.51,0,53,1991,4,32,12,334672,16893,0,1,53,0,0,1,9,4,12,0,0,2,8800,25,10,5,3,92.9,0,1,debt_consolidation,joint,24000,60,19.42,whole,Cash,105
systems administrator,3,WV,MORTGAGE,40000,Verified,35.16,NA,,NA,0,NA,2003,0,10,6,104753,74328,0,0,NA,0,0,1,2,NA,6,0,0,2,24000,8,5,4,0,100,0,0,other,individual,2000,36,10.42,whole,Cash,106
loan consultant,2,CO,RENT,195000,Source Verified,4.57,NA,,NA,0,NA,2012,1,12,11,47772,45325,0,0,NA,0,0,9,8,9,11,0,0,1,600,3,2,2,0,100,0,0,debt_consolidation,individual,32000,60,12.62,whole,Cash,107
baggage handler,10,TX,MORTGAGE,86000,Source Verified,16.72,NA,,NA,0,NA,2006,0,28,18,138000,31058,0,0,NA,0,0,0,3,15,18,0,0,10,27400,22,16,13,3,100,0,0,debt_consolidation,individual,12000,36,11.99,whole,Cash,108
accountant,10,KS,OWN,125000,Source Verified,2.22,190000,Source Verified,5.78,0,NA,1995,0,11,6,83300,12760,0,0,NA,0,0,0,0,NA,6,0,0,2,71500,11,6,4,0,100,0,0,debt_consolidation,joint,15000,36,6.07,fractional,Cash,109
deputy of public works,10,KS,RENT,65000,Not Verified,22.82,NA,,NA,0,NA,1997,3,36,13,87473,54640,0,0,NA,0,0,8,2,7,13,0,0,2,19500,9,5,4,0,100,0,0,debt_consolidation,individual,17000,60,9.43,whole,Cash,110
secretary,0,NJ,RENT,37260,Source Verified,24.47,NA,,NA,2,18,2004,3,27,6,97070,89537,0,0,18,0,0,3,4,2,6,0,0,2,3300,4,3,3,0,64,0,0,other,individual,3500,36,18.06,fractional,Cash,111
rt,3,NH,MORTGAGE,61000,Verified,32.74,242000,Verified,19.62,0,NA,1997,0,24,10,133756,84551,0,0,NA,0,0,6,1,NA,10,0,0,3,26800,10,4,3,0,100,0,0,credit_card,joint,35000,36,16.02,whole,Cash,112
,NA,AZ,MORTGAGE,37020,Not Verified,10.24,NA,,NA,0,NA,2006,3,17,9,37900,9181,0,0,NA,0,0,1,3,4,9,0,0,4,17300,12,8,6,2,100,0,0,car,individual,3600,36,10.91,whole,Cash,113
,NA,NY,RENT,24000,Verified,17.95,NA,,NA,0,NA,2007,0,10,6,13200,9382,0,1,NA,0,0,0,0,NA,6,0,0,4,9100,8,6,6,0,100,0,1,credit_card,individual,20000,36,13.58,fractional,Cash,114
security technician ,3,NC,MORTGAGE,53000,Not Verified,10.46,80000,Not Verified,13.98,0,53,2007,0,13,7,241905,14839,0,0,NA,0,0,1,2,21,7,0,0,1,21500,9,5,2,1,92.3,0,0,debt_consolidation,joint,21000,60,9.92,whole,Cash,115
electrician,10,DC,MORTGAGE,75000,Not Verified,22.26,NA,,NA,0,31,2000,0,16,8,459100,105225,0,0,31,0,0,1,1,NA,8,0,0,2,13300,10,6,6,3,93.8,0,0,other,individual,3000,36,19.03,fractional,Cash,116
sergeant first class,10,CO,MORTGAGE,78648,Source Verified,26.64,NA,,NA,0,29,2003,8,17,10,333424,58690,0,0,NA,0,658,3,3,6,10,0,0,3,8000,6,6,5,1,94.1,0,0,debt_consolidation,individual,10000,36,20,whole,Cash,117
senior systems architect,3,AZ,MORTGAGE,96800,Source Verified,13.2,NA,,NA,0,NA,2003,0,13,7,250671,72095,0,0,NA,0,0,0,1,NA,7,0,0,3,41500,6,5,4,5,100,0,0,debt_consolidation,individual,40000,36,5.31,whole,DirectPay,118
data entry,10,MA,MORTGAGE,27703,Source Verified,8.23,NA,,NA,0,48,2000,1,9,6,44650,4340,0,0,48,0,0,0,2,4,6,0,0,3,11600,6,5,4,2,77.8,0,0,debt_consolidation,individual,8000,36,6.72,whole,Cash,119
freelance electrician,4,NY,RENT,36000,Source Verified,30.61,NA,,NA,0,NA,2003,0,15,11,95580,39857,0,0,NA,0,0,7,2,NA,11,0,0,1,14500,6,4,2,0,100,0,0,moving,individual,3000,36,7.35,fractional,Cash,120
security officer,0,CA,RENT,30000,Source Verified,12.88,NA,,NA,0,NA,2014,0,6,5,41889,34655,0,0,NA,0,0,2,2,22,5,0,0,2,9400,4,3,2,0,100,0,0,car,individual,8400,36,9.92,whole,Cash,121
plant protection technician ,1,OH,RENT,42000,Not Verified,21.09,NA,,NA,0,NA,2012,0,20,15,54355,27511,0,0,NA,0,0,4,7,14,15,0,0,2,16900,16,11,4,0,100,0,0,credit_card,individual,10000,36,7.97,whole,Cash,122
management ,2,PA,MORTGAGE,65000,Source Verified,17.56,NA,,NA,1,10,1995,2,16,10,236860,34842,0,0,NA,0,0,1,2,11,10,0,0,3,17000,13,8,6,2,93.8,0,0,credit_card,individual,10000,36,9.43,whole,DirectPay,123
warehouse worker,0,CA,RENT,10000,Verified,20.77,NA,,NA,0,NA,2009,0,9,4,9400,4191,0,0,NA,0,1139,1,1,18,4,0,0,1,3700,4,3,3,0,100,0,0,credit_card,individual,5600,36,21.45,fractional,Cash,124
engineer,5,TX,MORTGAGE,75000,Source Verified,13.52,NA,,NA,0,NA,2002,0,24,8,207875,48475,0,0,NA,0,0,5,2,19,8,0,0,2,23000,3,2,2,1,100,0,0,credit_card,individual,24000,60,15.04,whole,Cash,125
account manager ,2,NY,RENT,85000,Not Verified,11.89,NA,,NA,0,NA,2008,6,29,18,86200,53214,0,0,NA,0,0,10,3,9,18,0,0,3,32300,12,8,4,0,100,0,0,debt_consolidation,individual,15000,60,10.9,whole,Cash,126
principal ,10,NV,OWN,72000,Source Verified,21.28,NA,,NA,0,NA,2008,0,18,10,76830,49871,0,3,NA,0,207,3,5,19,10,0,0,5,34000,7,7,7,0,100,3,0,credit_card,individual,25000,60,21.45,whole,Cash,127
teacher,0,SC,RENT,11000,Not Verified,8.95,34000,Not Verified,16.69,0,NA,2014,0,5,3,6000,2761,0,0,NA,0,0,0,3,17,3,0,0,2,3200,4,3,2,0,100,0,0,debt_consolidation,joint,12000,60,21.45,whole,Cash,128
electrical engineer,2,IN,MORTGAGE,92000,Source Verified,26.78,143812,Not Verified,30.97,0,NA,1979,0,12,7,244383,64093,0,0,NA,0,0,2,1,14,7,0,0,3,35000,4,4,4,4,100,0,0,other,joint,26650,60,13.59,whole,Cash,129
information systems manager,10,WI,MORTGAGE,124000,Verified,20.6,NA,,NA,0,43,1989,8,36,16,343998,139989,0,0,66,0,0,6,6,7,16,0,0,5,30600,10,7,7,5,83.3,0,0,debt_consolidation,individual,36000,60,12.61,whole,Cash,130
tea2,9,NY,RENT,57000,Not Verified,27.47,NA,,NA,0,NA,2007,0,28,11,84932,36934,0,0,NA,0,0,2,2,15,11,0,0,5,45900,14,8,5,0,100,0,0,credit_card,individual,15000,36,10.91,whole,Cash,131
operator,10,CA,RENT,56000,Verified,31.55,NA,,NA,0,40,2005,1,19,10,101987,105097,0,0,NA,0,0,4,2,7,10,0,0,2,5000,8,6,5,0,94.1,0,0,debt_consolidation,individual,10000,60,19.03,whole,Cash,132
owner,4,CA,RENT,60000,Not Verified,13.3,NA,,NA,0,54,2002,0,21,10,51600,17498,0,1,NA,0,0,3,3,NA,10,0,0,2,23000,12,7,2,0,95.2,0,1,credit_card,individual,12000,36,6.71,fractional,Cash,133
rn,2,CA,RENT,100000,Not Verified,3.27,NA,,NA,0,NA,2002,7,30,12,444300,26583,0,0,NA,0,0,1,7,2,12,0,0,3,90800,18,10,3,3,100,0,0,other,individual,25000,60,9.93,whole,Cash,134
deputy sheriff,10,MI,MORTGAGE,94000,Verified,25.94,NA,,NA,0,45,2004,4,41,14,273052,69424,0,0,45,0,0,5,7,4,14,0,0,5,40300,25,8,6,3,97.5,0,0,debt_consolidation,individual,30000,60,11.99,whole,Cash,135
field representative,7,NJ,MORTGAGE,135000,Not Verified,4.18,NA,,NA,0,NA,2001,1,11,8,53900,13397,0,1,NA,0,0,0,1,1,8,0,0,6,53900,11,8,6,0,100,1,0,debt_consolidation,individual,13000,60,12.62,whole,Cash,136
,NA,CA,RENT,75000,Verified,17.74,NA,,NA,0,NA,2003,1,26,15,72903,42822,0,1,NA,0,0,2,9,4,15,0,0,3,25500,19,13,4,2,100,0,1,debt_consolidation,individual,36000,36,9.93,whole,Cash,137
customer service ,4,WI,MORTGAGE,46000,Not Verified,37.44,211000,Not Verified,15.51,0,70,1985,3,22,10,52852,31151,0,0,NA,0,0,0,4,7,10,0,0,3,29600,10,8,6,2,90.9,0,0,other,joint,36000,36,20.39,whole,Cash,138
machinist,0,OH,RENT,90000,Source Verified,16.01,NA,,NA,0,50,1996,0,18,12,40000,30066,0,1,NA,0,174,1,3,13,12,0,0,8,11900,13,11,10,0,94.4,0,1,debt_consolidation,individual,16000,60,17.09,whole,Cash,139
office manager,10,PA,RENT,87040,Source Verified,13.68,NA,,NA,0,NA,2010,4,51,9,74623,53481,0,1,NA,0,0,1,12,0,9,0,0,2,2000,34,8,4,0,100,0,1,other,individual,25000,60,15.04,whole,Cash,140
project engineer,1,CO,RENT,85000,Not Verified,11.92,NA,,NA,0,67,1996,3,17,6,43712,34523,0,0,47,0,0,3,3,0,5,NA,0,3,7350,8,2,2,0,71,0,0,credit_card,individual,10000,36,11.99,whole,Cash,141
bi analyst,7,CA,MORTGAGE,76500,Source Verified,24.82,NA,,NA,0,NA,2003,1,17,12,388814,83617,0,0,NA,0,0,4,2,5,12,0,0,3,29500,8,7,5,1,100,0,0,debt_consolidation,individual,30000,60,9.43,whole,Cash,142
accounting shared services coordinator,10,OH,OWN,155000,Source Verified,18.68,NA,,NA,0,NA,2005,2,31,17,578878,139277,0,0,NA,0,0,4,5,7,17,0,0,6,54000,14,11,8,3,100,0,0,debt_consolidation,individual,30000,60,10.9,whole,Cash,143
,NA,WA,RENT,15600,Verified,36.32,175600,Source Verified,9.13,0,NA,2007,1,10,7,20000,8566,0,0,NA,0,0,0,5,10,7,0,0,4,14000,9,7,5,0,100,0,0,credit_card,joint,15000,36,10.9,whole,Cash,144
,NA,NV,OWN,19000,Not Verified,23.06,NA,,NA,0,NA,1986,0,37,11,29125,6304,0,1,NA,0,0,1,2,13,11,0,0,5,19100,35,10,6,0,100,0,1,debt_consolidation,individual,5000,36,7.97,whole,Cash,145
,NA,CA,RENT,31858,Not Verified,18.12,NA,,NA,0,49,1983,1,18,13,46525,12331,0,0,NA,0,0,1,1,4,13,0,0,3,10800,14,12,4,0,94.4,0,0,debt_consolidation,individual,13000,36,10.41,whole,Cash,146
senior customer care associate,10,IL,MORTGAGE,46280,Source Verified,27.02,NA,,NA,0,63,2006,0,25,9,165012,47412,0,1,63,0,658,4,1,17,9,0,0,4,22300,4,4,4,1,86.4,0,1,credit_card,individual,14000,36,14.07,whole,Cash,147
staff field adjustor,5,TN,MORTGAGE,82767.78,Verified,17.49,NA,,NA,2,20,1993,1,17,14,159128,55230,0,0,24,0,0,6,2,5,14,0,0,4,6500,9,7,7,1,70.6,0,0,debt_consolidation,individual,2000,36,16.02,whole,Cash,148
cook,5,CA,RENT,18800,Verified,59.71,135800,Verified,36.93,0,NA,2011,0,8,7,68888,38057,0,0,NA,0,0,2,3,NA,7,0,0,2,7300,5,5,5,0,100,0,0,debt_consolidation,joint,35000,36,10.42,whole,Cash,149
uc,10,NY,RENT,54000,Source Verified,25.44,NA,,NA,0,50,2006,1,28,18,40893,24857,0,0,50,0,1133,5,14,6,18,0,0,3,3100,20,13,10,0,92.6,0,0,debt_consolidation,individual,3000,36,13.58,whole,DirectPay,150
cutter,4,WA,RENT,35000,Verified,20.06,NA,,NA,0,NA,2008,5,12,7,42451,34717,0,0,NA,0,0,1,8,0,7,0,0,3,6500,10,6,5,0,100,0,0,other,individual,10000,36,15.04,whole,Cash,151
rn director,3,CA,MORTGAGE,175000,Source Verified,13.84,NA,,NA,1,11,2006,4,24,10,533283,90958,0,0,NA,0,0,4,4,2,10,0,0,5,33000,8,5,5,4,100,0,0,debt_consolidation,individual,24000,36,9.93,whole,DirectPay,152
csr,4,AR,MORTGAGE,26000,Verified,72.16,86000,Verified,24.21,0,NA,2009,1,28,19,246481,61861,0,0,NA,0,0,7,8,7,19,0,0,5,15000,12,11,10,1,82.1,0,0,debt_consolidation,joint,16000,60,16.01,whole,Cash,153
security officer,8,PA,MORTGAGE,35000,Verified,60.63,75000,Verified,34.45,0,NA,2006,3,28,12,88863,64734,0,0,NA,0,0,3,6,1,12,0,0,2,4500,21,9,7,0,100,0,0,home_improvement,joint,10000,36,14.08,whole,Cash,154
bartender,0,TX,MORTGAGE,60000,Source Verified,13.38,NA,,NA,1,3,2004,1,27,12,154182,10885,0,0,3,0,0,0,1,7,12,0,0,4,10300,20,11,6,3,85.2,0,0,debt_consolidation,individual,10000,36,12.62,whole,Cash,155
customer service,10,PA,MORTGAGE,38000,Source Verified,9.32,NA,,NA,0,NA,2006,1,29,18,142065,23401,0,0,NA,0,0,2,6,2,18,0,0,1,39000,24,15,3,1,100,0,0,other,individual,3000,36,6.71,fractional,Cash,156
pilot,10,MI,MORTGAGE,318000,Source Verified,8.37,NA,,NA,0,NA,2002,9,8,7,125809,90942,0,1,NA,0,0,4,3,7,7,0,0,2,7100,4,3,2,0,100,0,1,debt_consolidation,individual,25000,60,19.03,whole,Cash,157
driver,10,TX,MORTGAGE,100000,Not Verified,15.59,NA,,NA,0,NA,1999,2,16,6,95723,59436,0,1,NA,0,0,2,2,11,6,0,0,3,26300,6,4,3,3,100,0,1,debt_consolidation,individual,10000,36,5.31,whole,DirectPay,158
supervisor,10,NM,MORTGAGE,72000,Source Verified,4.53,NA,,NA,1,10,2000,0,11,3,332152,8175,0,0,67,0,0,0,1,19,3,0,0,1,8500,4,1,1,3,72.7,0,0,debt_consolidation,individual,15000,60,15.04,whole,Cash,159
sales,3,CA,MORTGAGE,114000,Verified,19.66,NA,,NA,0,NA,2001,6,29,14,461620,100251,0,0,NA,0,0,2,6,3,14,0,0,8,77800,21,11,8,2,100,0,0,other,individual,21600,60,26.77,whole,Cash,160
director of pfs,2,TX,RENT,79500,Not Verified,17.8,NA,,NA,0,NA,1989,1,46,12,155991,115711,0,0,NA,0,0,2,7,3,12,0,0,6,38300,18,10,10,2,100,0,0,debt_consolidation,individual,12000,36,6.72,whole,Cash,161
financial reporting manager,8,MD,RENT,100000,Not Verified,17.39,NA,,NA,0,NA,2005,0,13,9,85440,70391,0,0,NA,0,0,5,3,20,9,0,0,2,19400,7,4,2,0,92.3,0,0,debt_consolidation,individual,20000,60,17.09,whole,Cash,162
day porter ,3,MA,RENT,43000,Not Verified,23.05,NA,,NA,0,62,2011,10,18,10,56231,32443,0,0,62,0,0,2,7,2,10,0,0,5,29700,11,8,7,0,94.4,0,0,debt_consolidation,individual,10000,36,10.42,whole,Cash,163
accountant,10,CO,MORTGAGE,58250,Verified,15.64,NA,,NA,0,28,2005,2,15,9,341138,19404,0,0,31,0,0,3,9,6,9,0,0,1,3000,6,5,5,3,80,0,0,debt_consolidation,individual,10000,60,21.45,whole,Cash,164
national director military division,10,AZ,MORTGAGE,190000,Verified,25.95,NA,,NA,1,16,1986,0,33,15,690255,141877,0,0,NA,0,0,4,4,20,15,0,0,6,40300,13,10,9,4,93.9,0,0,home_improvement,individual,35000,36,7.97,fractional,Cash,165
sales,3,UT,RENT,39000,Not Verified,5.29,NA,,NA,0,73,2007,5,18,10,24311,21664,0,0,78,0,1853,7,5,9,10,0,0,2,3800,5,3,3,0,76.5,0,0,debt_consolidation,individual,6000,36,10.42,whole,Cash,166
,NA,TX,MORTGAGE,11352,Verified,132.98,114352,Verified,28.3,0,58,1998,0,27,19,231052,44234,0,0,NA,0,0,2,3,15,19,0,0,2,13500,19,16,11,2,96.3,0,0,debt_consolidation,joint,5000,36,10.42,whole,Cash,167
bartender,10,CA,RENT,50000,Not Verified,22.14,NA,,NA,0,NA,1980,0,27,18,162144,42086,0,0,NA,0,159,1,4,NA,18,0,0,5,84800,21,17,9,0,100,0,0,credit_card,individual,11200,36,5.31,fractional,Cash,168
transportation manage,3,FL,MORTGAGE,50000,Verified,4.37,NA,,NA,0,NA,2009,5,61,31,349329,5245,0,1,NA,0,0,0,11,1,31,0,0,4,30200,47,30,6,3,100,0,1,debt_consolidation,individual,10000,36,6.08,whole,Cash,169
application support analyst,2,OH,RENT,50000,Source Verified,17.71,NA,,NA,0,25,2011,3,20,13,63614,47000,2,0,NA,0,1004,8,3,4,13,0,0,0,6000,12,5,1,0,95,0,0,debt_consolidation,individual,3200,36,21.45,whole,Cash,170
registered nurse,10,CA,RENT,165000,Verified,21.28,NA,,NA,0,29,1993,2,28,22,82800,56601,0,0,NA,0,0,7,9,3,22,0,0,9,10600,17,15,12,0,89.3,0,0,debt_consolidation,individual,16000,60,18.45,whole,Cash,171
director of product development ,5,NY,OWN,185000,Source Verified,0,NA,,NA,0,NA,2000,7,17,3,16100,0,0,0,NA,0,0,0,0,2,3,0,0,0,9000,13,3,0,0,100,0,0,home_improvement,individual,35000,36,6.08,whole,Cash,172
vp finance,2,NY,MORTGAGE,200000,Source Verified,9.95,NA,,NA,0,NA,2001,2,20,12,643718,44724,0,0,NA,0,0,3,3,8,12,0,0,5,134900,10,8,5,1,100,0,0,debt_consolidation,individual,15000,36,5.32,whole,Cash,173
wood work and painting,10,VA,RENT,42000,Source Verified,4.31,72000,Source Verified,14.17,0,NA,2005,0,8,3,36000,6880,0,0,NA,0,0,0,2,17,3,0,0,1,30000,8,3,1,0,100,0,0,debt_consolidation,joint,21000,36,7.34,whole,Cash,174
manager,10,GA,MORTGAGE,88272,Source Verified,35.49,105936,Not Verified,32.51,0,60,2002,1,32,13,296178,118885,0,0,NA,0,0,6,8,6,13,0,0,1,9100,15,6,4,1,96.9,0,0,debt_consolidation,joint,11000,60,16.02,whole,Cash,175
testing technician,7,AR,RENT,43000,Verified,33.1,NA,,NA,0,NA,2009,4,23,19,86837,53137,0,1,NA,0,0,6,7,3,19,0,0,8,37300,14,13,11,0,100,0,1,home_improvement,individual,20400,60,21.45,whole,Cash,176
,NA,MD,MORTGAGE,56000,Not Verified,19.95,NA,,NA,0,NA,1984,6,26,11,394086,54546,0,0,NA,0,0,2,1,1,11,0,0,4,50000,21,8,7,2,100,0,0,debt_consolidation,individual,19475,36,7.97,whole,Cash,177
branch manager,0,CO,RENT,210000,Source Verified,20.19,NA,,NA,0,NA,1997,1,20,15,163873,94938,0,1,NA,0,0,6,4,4,15,0,0,6,25000,10,9,8,0,100,0,1,debt_consolidation,individual,30000,36,21.45,fractional,Cash,178
correctional officer,10,CA,MORTGAGE,80000,Verified,34.28,NA,,NA,0,76,1997,2,21,16,160312,86182,0,0,76,0,0,3,8,5,16,0,0,3,20600,12,12,6,0,95.2,0,0,other,individual,2000,36,13.58,whole,Cash,179
heavy equipment operator,10,WV,MORTGAGE,45300,Verified,17.43,NA,,NA,0,53,1981,1,20,9,146670,24429,0,0,59,0,0,2,3,3,9,0,0,4,13000,9,6,5,3,90,0,0,debt_consolidation,individual,18000,60,16.02,whole,Cash,180
battalion chief ,10,CA,MORTGAGE,140000,Verified,13.78,NA,,NA,0,25,2004,4,30,11,638396,56853,0,1,NA,0,0,2,11,3,11,0,0,4,11500,13,8,6,4,92.9,1,0,other,individual,32000,36,16.02,whole,Cash,181
bodyman,5,TN,OWN,65000,Not Verified,4.8,NA,,NA,0,48,1999,0,14,6,69210,7656,0,0,49,0,0,0,1,17,6,0,0,3,6300,7,5,5,1,78.6,0,0,other,individual,7000,36,6.71,whole,Cash,182
,NA,NJ,OWN,100000,Not Verified,20.82,NA,,NA,0,27,1996,2,34,16,178720,20834,0,0,NA,0,0,3,3,7,16,0,0,4,23600,13,11,4,7,94.1,0,0,debt_consolidation,individual,20000,36,9.93,whole,Cash,183
unit clerk,10,NY,RENT,54000,Verified,22.67,NA,,NA,0,NA,1989,9,55,30,89740,39727,0,1,NA,0,0,5,20,6,30,0,0,5,18900,46,25,10,0,100,0,1,debt_consolidation,individual,10000,36,19.42,whole,Cash,184
pacs admin,10,TX,MORTGAGE,80000,Not Verified,28.46,155000,Not Verified,18.21,0,26,2002,1,32,10,337526,44979,0,0,NA,0,0,3,1,12,10,0,0,4,30200,16,6,5,3,89.3,0,0,small_business,joint,15000,60,9.43,whole,Cash,185
assistant to the treasurer,6,FL,RENT,152000,Source Verified,10.34,NA,,NA,0,NA,2006,1,19,13,149600,67930,0,0,NA,0,0,2,5,2,13,0,0,5,86500,14,11,5,0,100,0,0,debt_consolidation,individual,40000,60,12.61,whole,Cash,186
digital product manager,1,CA,RENT,110000,Source Verified,6.72,NA,,NA,0,NA,2014,3,14,8,58600,17442,0,0,NA,0,0,1,7,7,8,0,0,2,29400,11,7,2,0,100,0,0,debt_consolidation,individual,16000,36,12.61,fractional,Cash,187
inspector ,4,CA,RENT,144000,Not Verified,7.95,NA,,NA,0,55,2001,3,29,9,407385,34131,0,0,NA,0,0,1,3,7,9,0,0,2,33100,14,7,2,1,100,0,0,credit_card,individual,20000,60,12.61,whole,Cash,188
waitress,3,MA,RENT,60000,Not Verified,16.5,NA,,NA,0,44,2012,0,9,6,59336,39642,0,0,44,0,0,3,3,17,6,0,0,0,5800,5,3,0,0,88.9,0,0,other,individual,10000,36,14.07,whole,Cash,189
transfer driver,10,TX,RENT,91000,Verified,23.35,NA,,NA,0,NA,2001,6,22,13,173550,69177,0,0,NA,0,0,4,8,8,13,0,0,6,22700,11,8,7,1,100,0,0,major_purchase,individual,5600,36,17.09,whole,Cash,190
project manager,5,GA,MORTGAGE,76500,Source Verified,24.17,NA,,NA,0,NA,2008,7,32,11,214501,58064,0,0,NA,0,0,3,9,3,11,0,0,2,12500,8,7,5,1,100,0,0,credit_card,individual,8000,36,9.44,whole,Cash,191
technician,4,ID,RENT,59000,Source Verified,8.34,NA,,NA,1,13,2000,1,19,11,28431,9289,0,0,13,0,1603,2,5,11,11,0,0,4,15600,12,9,4,0,89.5,0,0,debt_consolidation,individual,3500,36,10.9,fractional,Cash,192
grant specialist,5,VA,RENT,59390,Not Verified,11.86,NA,,NA,0,NA,2006,0,26,13,67237,67615,0,0,NA,0,0,8,2,17,13,0,0,4,13200,6,5,4,0,100,0,0,credit_card,individual,9000,36,7.34,whole,DirectPay,193
relationship banker,2,WA,RENT,40000,Source Verified,16.55,NA,,NA,0,NA,1987,1,13,9,40780,31956,0,0,NA,0,0,1,5,11,9,0,0,4,12700,11,8,5,0,100,0,0,debt_consolidation,individual,15000,36,11.98,whole,DirectPay,194
executive assistant/ accts coord,1,TX,MORTGAGE,35000,Verified,43.44,100000,Verified,21.34,0,NA,1997,4,24,13,218771,40843,0,0,NA,0,2809,2,7,2,13,0,0,4,18500,16,9,8,3,100,0,0,debt_consolidation,joint,20000,60,25.82,whole,Cash,195
field support consultant,10,MN,MORTGAGE,80000,Verified,28.65,NA,,NA,0,NA,1997,1,21,15,262015,45338,0,0,42,0,0,3,3,11,15,NA,0,5,14850,15,11,11,1,95,0,0,debt_consolidation,individual,22000,60,12.62,whole,Cash,196
carpenter,10,AL,MORTGAGE,40000,Not Verified,34.59,NA,,NA,2,12,1993,1,28,14,223793,21747,0,0,NA,0,0,3,4,11,14,0,0,2,19800,22,10,6,2,92.9,0,0,debt_consolidation,individual,8400,36,7.97,whole,Cash,197
truck driver,2,TX,MORTGAGE,75000,Verified,21.04,NA,,NA,0,NA,2004,11,35,20,321890,42518,0,0,NA,0,0,4,16,6,20,0,0,9,73800,20,15,12,4,100,0,0,credit_card,individual,20000,60,17.47,whole,DirectPay,198
,NA,NC,OWN,42000,Not Verified,36.31,NA,,NA,1,12,1990,0,28,10,41708,24611,0,0,12,0,0,2,2,21,10,0,0,3,6100,20,8,7,2,67.9,0,0,credit_card,individual,7000,36,9.44,whole,Cash,199
region sales manager ,0,NC,RENT,117000,Source Verified,25.56,NA,,NA,0,69,1999,1,18,10,154109,101567,0,0,72,0,0,3,4,6,10,0,0,3,41600,12,7,5,0,77.8,0,0,other,individual,15000,36,13.59,whole,Cash,200
lunchroom supervisor,1,MI,MORTGAGE,12000,Not Verified,5.6,152000,Not Verified,17.04,0,NA,2006,0,17,4,44800,160,0,0,NA,0,0,0,2,19,4,0,0,3,44800,8,4,3,0,100,0,0,debt_consolidation,joint,40000,36,5.32,whole,Cash,201
key holder ,0,NY,RENT,14500,Verified,8.36,NA,,NA,0,30,2014,2,6,6,11300,9712,0,0,NA,0,0,2,3,2,6,0,0,2,1800,4,4,2,0,100,0,0,debt_consolidation,individual,15000,60,24.84,whole,Cash,202
product development engineer- ford,4,MI,RENT,80000,Source Verified,7.02,NA,,NA,0,NA,2013,1,5,5,71512,12545,0,0,NA,0,0,1,2,8,5,0,0,4,48500,4,4,4,0,100,0,0,major_purchase,individual,25000,36,5.32,whole,Cash,203
construction wireman,2,CA,RENT,35000,Source Verified,18.42,NA,,NA,0,NA,2013,0,4,4,21664,16739,0,0,NA,0,0,1,1,NA,4,0,0,3,13300,3,3,3,0,100,0,0,debt_consolidation,individual,11500,36,11.99,whole,DirectPay,204
driver,2,WA,RENT,54000,Verified,20.38,NA,,NA,0,NA,2009,6,24,16,78604,45180,0,0,NA,0,0,2,11,2,16,0,0,2,12600,15,14,5,0,100,0,0,other,individual,17000,36,14.08,whole,Cash,205
cashier,10,WI,RENT,44240,Source Verified,22.19,NA,,NA,0,NA,2006,0,51,7,31276,19456,0,0,NA,0,0,2,8,15,7,0,0,2,5100,10,5,3,0,100,0,0,debt_consolidation,individual,20000,60,16.02,whole,Cash,206
rn,1,TN,MORTGAGE,60000,Source Verified,19.31,NA,,NA,0,38,1999,5,65,36,128500,34072,0,0,80,0,0,0,21,0,36,0,0,14,82300,57,36,22,1,95.4,0,0,home_improvement,individual,12000,36,11.99,whole,Cash,207
contractor - work from home,4,AL,OWN,87000,Verified,10,NA,,NA,0,NA,2005,0,23,4,40332,33818,0,0,NA,0,0,1,2,NA,4,0,0,2,8000,15,3,3,0,100,0,0,credit_card,individual,10300,36,13.59,whole,Cash,208
quality assurance,0,OH,RENT,65000,Source Verified,16.77,NA,,NA,0,NA,2011,1,10,9,47753,31838,0,0,NA,0,0,4,3,8,9,0,0,3,5900,6,5,5,0,100,0,0,moving,individual,1000,36,16.02,whole,Cash,209
,NA,CA,OWN,70209,Not Verified,33.06,75765,Not Verified,35.08,0,NA,1980,1,12,7,114177,68178,0,2,NA,0,0,4,1,6,7,0,0,2,6000,5,3,3,0,100,1,1,debt_consolidation,joint,23800,60,15.05,whole,Cash,210
administrative assistant ,0,FL,RENT,32000,Not Verified,22.51,NA,,NA,0,NA,1984,1,11,4,22984,18420,0,0,34,0,0,1,1,3,3,NA,0,2,5000,8,2,2,0,91,0,0,debt_consolidation,individual,2500,36,7.96,whole,DirectPay,211
sales engineer,10,FL,MORTGAGE,170000,Source Verified,9.91,NA,,NA,0,NA,2003,0,34,12,589074,70807,0,0,NA,0,0,1,4,14,12,0,0,7,103700,26,10,9,2,100,0,0,credit_card,individual,40000,36,6.08,whole,Cash,212
